#domain,ioc,uri_path,ip
static.uat.html5.webdisk.media.baidu.com.cn,Possible Cobalt Strike C2 Fronting Domain,/compute/cd/K7BA6V385V,49.232.90.121
sts.tencentopenapi.xyz,Possible Cobalt Strike C2 Domain,/image/,111.229.187.190
su.urlz.ws,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,38.54.86.90
summerevent2023.com,Possible Cobalt Strike C2 Domain,/tip.php,20.120.177.99
support.meedicalabc.com,Possible Cobalt Strike C2 Domain,/adsid/google/ui,82.180.133.120
support.popuiarenlinea.com,Possible Cobalt Strike C2 Fronted Domain,/lv,142.171.104.108
sz-sourcetail-v4.volcmlt.com,Possible Cobalt Strike C2 Fronted Domain,/mall_100_100.html,39.100.109.229
tdinsuranceapply-a0guehftc6fzegca.a03.azurefd.net,Possible Cobalt Strike C2 Domain,/mms.html,4.206.184.179
test.qqweixinzhuce.top,Possible Cobalt Strike C2 Domain,/wp06/wp-includes/po.php,43.153.228.97
update.360safety.xyz,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,47.105.69.34
update.aliyunupdate.work,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,43.138.73.164
update.micromain.cfd,Possible Cobalt Strike C2 Domain,/462c30d592f23b18/jquery/3.7.1/jquery.min.js,170.106.169.138
update.microsoftapply.com,Possible Cobalt Strike C2 Domain,/g.pixel,103.186.215.56
update.microsofthk.com,Possible Cobalt Strike C2 Domain,/__utm.gif,154.12.84.6
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain,/__utm.gif,154.12.84.6
update.winservers-network.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,107.149.240.218
upload.windowscdn.cn,Possible Cobalt Strike C2 Domain,/feedapi/v1/newsserver/api/getpassword,139.159.192.61
utilityreport.azureedge.net,Possible Cobalt Strike C2 Domain,/ms-settings,159.203.166.179
v2ray1.mmsy.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,52.253.108.7
v2ray2.mmsy.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,52.253.108.7
verify.update.nadra-pk.org,Possible Cobalt Strike C2 Domain,/visit.js,45.76.90.103
visualstudio.microsoft.com.volcgslb-mlt.com,Possible Cobalt Strike C2 Fronted Domain,/mall_100_100.html,39.100.109.229
vpn.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/omp/api/get_page_config,111.229.214.58
vsj888.shop,Possible Cobalt Strike C2 Domain,/index.js,39.98.60.175
webpoint.micromoto.fun,Possible Cobalt Strike C2 Domain,/api/3,64.227.107.166
wpscheckmembers.vip,Possible Cobalt Strike C2 Domain,/api/v3/CorporationLimited,8.210.81.151
wraimey.com,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,44.221.39.41
www.614110.xyz,Possible Cobalt Strike C2 Domain,/milu_image/,18.166.113.176
www.alipan.lol,Possible Cobalt Strike C2 Domain,/api/3,152.42.188.132
www.checktimes.top,Possible Cobalt Strike C2 Domain,/promote/static/XV4SPLMOG,45.61.137.23
www.chiante1ecom.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,43.143.193.228
www.chinamobile.live,Possible Cobalt Strike C2 Domain,/api/3,35.224.58.250
www.chinamobile.live,Possible Cobalt Strike C2 Domain,/push,45.152.67.31
www.dahuatec.xyz,Possible Cobalt Strike C2 Domain,/www/handle/doc,43.136.38.59
www.dq.sched.vip-dk.tdnsvod1.cn,Possible Cobalt Strike C2 Fronted Domain,/compute/cd/K7BA6V385V,49.232.90.121
www.fiash.info,Possible Cobalt Strike C2 Domain,/api/3,101.36.111.175
www.flash-update.info,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,47.105.69.34
www.flashl.tw,Possible Cobalt Strike C2 Domain,/jsbhn.js,23.94.169.124
www.flashl.tw,Possible Cobalt Strike C2 Fronting Domain,/mylibs.js,23.94.169.124
www.gfyl.fun,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.120.17.76
www.hainanwctvme.xyz,Possible Cobalt Strike C2 Domain,/image/,115.159.50.50
www.hathawaya.xyz,Possible Cobalt Strike C2 Fronted Domain,/about,154.205.138.72
www.installbootstrap.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,52.37.96.65
www.jumpsrever.top,Possible Cobalt Strike C2 Domain,/__utm.gif,64.7.198.58
www.microsoftonline.info,Possible Cobalt Strike C2 Domain,/j.ad,47.236.185.166
www.microsoftsendtime.shop,Possible Cobalt Strike C2 Domain,/promote/static/XV4SPLMOG,193.149.185.14
www.myhuaweicloud.com,Possible Cobalt Strike C2 Fronting Domain,/info,124.223.220.143
www.qichen.fun,Possible Cobalt Strike C2 Domain,/ca,61.139.24.20
www.rollupdate.com,Possible Cobalt Strike C2 Domain,/rn.js,45.125.67.49
www.sonystore.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,39.98.192.104
www.stylejason.com,Possible Cobalt Strike C2 Domain,/push,188.114.97.3
www.test9977.tk,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,47.99.177.59
www.test9977.tk,Possible Cobalt Strike C2 Domain,/cx,47.99.177.59
www.testabcdtest.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,8.218.192.174
www.testtttt.com,Possible Cobalt Strike C2 Domain,/__utm.gif,212.64.24.30
www.vip8806.mom,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,156.251.172.80
www.weather.pm,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,111.223.247.232
www.weepstakes.com,Possible Cobalt Strike C2 Domain,/images/branding/googlelogo/1x/googlelogo_color_150x54Dp.png,185.32.126.51
www.xahoithongtins.com,Possible Cobalt Strike C2 Domain,/jquery-3.5.6.min.js,103.143.208.215
www.yamaxun.blog,Possible Cobalt Strike C2 Fronted Domain,/Originate/v4.01/QGQTNORA,38.147.171.36
www2.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain,/async/newtab_promos,20.104.172.62
yamaxun.blog,Possible Cobalt Strike C2 Fronting Domain,/Originate/v4.01/QGQTNORA,38.147.171.36
zj.court.cn.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,149.104.24.217
zx.scsvcreg.com,Possible Cobalt Strike C2 Domain,/tab_shop_active,5.188.86.28
