#domain,ioc,uri_path,ip
d1v4b6pbk0kwvw.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,44.221.39.41
d20pexcm9ot6hj.cloudfront.net,Possible PoshC2 Fronted Domain,/wpaas/load.php/,13.48.77.144
d2ewlfde9nvzf.cloudfront.net,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,44.221.39.41
d2ewlfde9nvzf.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,44.221.39.41
d3c0hjeoqmryl5.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h,137.184.237.252
d3o8tsrpl5k6yb.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h,137.184.237.252
d3so0g2pxg0u5a.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h,137.184.237.252
d69b6834b7eb46fcb7bbcaa60f9f0f2d.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob,101.36.121.188
d69b6834b7eb46fcb7bbcaa60f9f0f2d.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob,101.36.126.189
d69b6834b7eb46fcb7bbcaa60f9f0f2d.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob,152.32.131.118
d8g.lol,Possible Cobalt Strike C2 Domain,/api/3,159.75.104.157
d9msk9dy9tbnk.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain,/jquery-2.8.4.min.js,4.158.105.167
dbgrw1.azurefd.net,Possible Cobalt Strike C2 Domain,/__utm.gif,24.137.215.164
dct4jph3as9lp.cloudfront.net,Possible Cobalt Strike C2 Domain,/ms,44.194.227.114
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.135.118.251
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.135.118.251
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.135.118.251
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.135.118.251
dir.cdn-delivery-xyz.com,Possible Cobalt Strike C2 Domain,/imagenes/58417/barra.jpg,101.99.94.224
dns.beenewsdream.net,Possible Cobalt Strike C2 Domain,/messages/p0LRaDdAL1oKkCE9hqDPe5YZV6rkon9pg6X,104.156.244.171
dns.byresolved.com,Possible Cobalt Strike C2 Domain,/acct.php,18.219.198.202
dns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr,191.101.44.35
dns.cityoall.com,Possible Cobalt Strike C2 Domain,/pixel,94.20.88.63
dns.ns1.akingump.cloud,Possible Cobalt Strike C2 Domain,/fwlink,100.26.145.203
dns.ontexcare.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,95.179.190.134
dns.otxcarecosmetics.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,168.100.11.227
dns.otxcosmeticscare.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,134.209.87.204
dns.t0nger.com,Possible Cobalt Strike C2 Domain,/pixel,8.218.137.213
dns.trailcosolutions.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,78.141.217.186
download.localhost-microsoft.com,Possible Cobalt Strike C2 Domain,/image/,43.129.28.136
dr-hoefler.de,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,46.101.137.168
dropper.bilibili360.xyz,Possible Cobalt Strike C2 Domain,/cm,121.5.128.191
dvbtools.com,Possible Cobalt Strike C2 Domain,/DocumentId,185.172.128.6
dvbtools.com,Possible Cobalt Strike C2 Domain,/DocumentId,185.42.14.185
f6d2b014a8664ddd8d859ce64f3741ad.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob,101.36.121.188
f6d2b014a8664ddd8d859ce64f3741ad.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob,101.36.126.189
f6d2b014a8664ddd8d859ce64f3741ad.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob,152.32.131.118
fibersee.com,Possible Cobalt Strike C2 Fronted Domain,/ch,45.149.172.101
fibersee.com,Possible Cobalt Strike C2 Fronted Domain,/ch,5.161.191.120
files.jslibc.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.76.78.183
finance.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronted Domain,/dhl,128.199.141.212
firmware-yrs-conflicts-favorites.trycloudflare.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,107.148.1.41
flashl.tw,Possible Cobalt Strike C2 Fronted Domain,/mylibs.js,23.94.169.124
goldensoftware.co.uk,Possible Cobalt Strike C2 Domain,/visit.js,5.188.87.50
gov.vsj888.shop,Possible Cobalt Strike C2 Domain,/index.js,39.98.60.175
helloboy.shop,Possible Cobalt Strike C2 Domain,/functionalStatus/M2m9ioDW7RSEqasWcw04yAC,80.66.75.43
helloboy.shop,Possible Cobalt Strike C2 Domain,/functionalStatus/M2m9ioDW7RSEqasWcw04yAC,80.66.75.52
helloboy.shop,Possible Cobalt Strike C2 Domain,/functionalStatus/M2m9ioDW7RSEqasWcw04yAC,80.66.75.53
helloboy.shop,Possible Cobalt Strike C2 Domain,/functionalStatus/M2m9ioDW7RSEqasWcw04yAC,80.66.75.9
i.xlei.cc,Possible Cobalt Strike C2 Domain,/ca,42.192.53.52
ikea0.com,Possible Cobalt Strike C2 Domain,/Dequeue/mqseries/D7W0GTJFY,91.238.181.230
images-oss-1318291330.cos.ap-beijing.myqcloud.com,Possible Cobalt Strike C2 Domain,/images/favicon.ico,82.156.151.200
investment.kumbaraan.biz.id,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,159.223.86.73
io.cy789.ml,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,42.193.252.92
io.cy789.ml,Possible Cobalt Strike C2 Domain,/updates.rss,42.193.252.92
iopqwe.azureedge.net,Possible Cobalt Strike C2 Domain,/web.asp,138.197.40.89
ipv6.beijing-qax.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,104.168.145.228
js.mitigize.com,Possible Cobalt Strike C2 Domain,/dot.gif,164.92.249.209
js.msedgeupdate.com,Possible Cobalt Strike C2 Domain,/push,8.212.44.149
