"domain","lastSeen","ip4","ip4Asn","ip4NumCve","ip4Portlist","ip6","ip6Asn","ip6NumCve","ip6Portlist","ip6Prefix","category","subcategory","type","twin_config","dualstak"
"sharjoff.000webhostapp.com","01/07/22-22:18","145.14.144.241","204915",0,"[80,2049,8080,32768,443,32767]","2a02:4780:dead:a09a::1","204915",0,"[443,2049,8080,32768,80,32767]","2a02:4780:dead:a09a::","malware","C&C","botnet",true,true
"homiletic-submarine.000webhostapp.com","01/07/22-22:18","145.14.144.241","204915",0,"[80,2049,8080,32768,443,32767]","2a02:4780:dead:a09a::1","204915",0,"[443,2049,8080,32768,80,32767]","2a02:4780:dead:a09a::","malware","C&C","botnet",true,true
"jlckey.000webhostapp.com","01/07/22-22:18","145.14.144.241","204915",0,"[80,2049,8080,32768,443,32767]","2a02:4780:dead:a09a::1","204915",0,"[443,2049,8080,32768,80,32767]","2a02:4780:dead:a09a::","malware","C&C","botnet",true,true
"44.211.199.94.in-addr.arpa.","01/07/22-21:01","94.199.211.44","209400",15,"[22,443,4001,1080,2001,4662,9001,9002,9030]","2001:470:1f0b:3da::3","6939",15,"[1080,22,443,9002]","2001:470:1f0b:3da::","anonymization","TOR","proxy",false,true
"100.156.135.83.in-addr.arpa.","01/07/22-21:10","83.135.156.100","8881",0,"[443,80,5060,9001,9030,5060]","2001:16b8:234:8f00:5082:d7ff:fe75:9c8e","8881",0,"[9001]","2001:16b8:234:8f00::","anonymization","TOR","proxy",false,true
"luminuis.000webhostapp.com","01/07/22-21:29","145.14.144.81","204915",0,"[80,32768,443,8080,2049,32767]","2a02:4780:dead:f712::1","204915",0,"[80,443,8080,2049,32768,32767]","2a02:4780:dead:f712::","malware","C&C","botnet",true,true
"panelgame.tk","01/07/22-22:41","145.14.145.91","204915",0,"[443,80,32768,8080,2049,32767]","2a02:4780:dead:f57d::1","204915",0,"[8080,32768,80,2049,443,32767]","2a02:4780:dead:f57d::","malware","C&C","botnet",true,true
"61-230-162-191.dynamic-ip.hinet.net","01/07/22-21:00","61.230.162.191","3462",0,"[9001,9030]","2001:b011:4006:174b::b","3462",0,"[9001]","2001:b011:4006:174b::","anonymization","TOR","proxy",false,true
"60-241-220-194.tpgi.com.au","01/07/22-21:10","60.241.220.194","7545",0,"[9001]","2001:44b8:2128:1800:85ef:14c9:a370:276e","4739",0,"[9001]","2001:44b8:2128:1800::","anonymization","TOR","proxy",true,true
"lfbn-lyo-1-1238-102.w86-248.abo.wanadoo.fr","01/07/22-21:20","86.248.60.102","3215",0,"[443,9001,9030]","2a01:cb14:b8:df00:271:55f2:d1b1:49a7","3215",15,"[22,9001]","2a01:cb14:b8:df00::","anonymization","TOR","proxy",false,true
"v133-18-231-81.vir.kagoya.net","01/07/22-21:20","133.18.231.81","24282",0,"[5901]","2406:8c00:0:3423:133:18:231:81","24282",0,"[5901]","2406:8c00:0:3423::","anonymization","TOR","proxy",true,true
"v2202201165249174659.quicksrv.de","01/07/22-21:27","188.68.58.105","197540",0,"[]","2a03:4000:6:f808:948b:b5ff:fe41:2238","197540",0,"[]","2a03:4000:6:f808::","anonymization","TOR","proxy",true,true
